# Feature / Sample,PRISM|7122,PRISM|7147,PRISM|7150,PRISM|7153,PRISM|7184,PRISM|7238,PRISM|7406,PRISM|7408,PRISM|7421,PRISM|7445,PRISM|7486,PRISM|7496,PRISM|7506,PRISM|7547,PRISM|7658,PRISM|7662,PRISM|7744,PRISM|7759,PRISM|7762,PRISM|7776,PRISM|7791,PRISM|7843,PRISM|7847,PRISM|7852,PRISM|7855,PRISM|7858,PRISM|7860,PRISM|7861,PRISM|7862,PRISM|7870,PRISM|7874,PRISM|7875,PRISM|7879,PRISM|7897,PRISM|7899,PRISM|7904,PRISM|7906,PRISM|7908,PRISM|7909,PRISM|7910,PRISM|7911,PRISM|7912,PRISM|7938,PRISM|7941,PRISM|7947,PRISM|7948,PRISM|7955,PRISM|7971,PRISM|7989,PRISM|8095,PRISM|8096,PRISM|8101,PRISM|8106,PRISM|8129,PRISM|8226,PRISM|8244,PRISM|8264,PRISM|8275,PRISM|8283,PRISM|8332,PRISM|8336,PRISM|8361,PRISM|8374,PRISM|8377,PRISM|8406,PRISM|8441,PRISM|8444,PRISM|8447,PRISM|8452,PRISM|8458,PRISM|8462,PRISM|8464,PRISM|8466,PRISM|8467,PRISM|8475,PRISM|8480,PRISM|8483,PRISM|8485,PRISM|8496,PRISM|8502,PRISM|8503,PRISM|8511,PRISM|8513,PRISM|8515,PRISM|8523,PRISM|8534,PRISM|8537,PRISM|8550,PRISM|8564,PRISM|8565,PRISM|8573,PRISM|8577,PRISM|8589,PRISM|8591,PRISM|8592,PRISM|8605,PRISM|8624,PRISM|8628,PRISM|8629,PRISM|8667,PRISM|8675,PRISM|8683,PRISM|8692,PRISM|8696,PRISM|8728,PRISM|8734,PRISM|8735,PRISM|8746,PRISM|8749,PRISM|8753,PRISM|8754,PRISM|8758,PRISM|8764,PRISM|8765,PRISM|8774,PRISM|8776,PRISM|8778,PRISM|8783,PRISM|8784,PRISM|8785,PRISM|8788,PRISM|8789,PRISM|8794,PRISM|8795,PRISM|8800,PRISM|8802,PRISM|8803,PRISM|8805,PRISM|8806,PRISM|8807,PRISM|8809,PRISM|8815,PRISM|8841,PRISM|8843,PRISM|8844,PRISM|8846,PRISM|8847,PRISM|8849,PRISM|8878,PRISM|8882,PRISM|8892,PRISM|8894,PRISM|8898,PRISM|8924,PRISM|8932,PRISM|8982,PRISM|8998,PRISM|9010,PRISM|9018,PRISM|9030,PRISM|9033,PRISM|9074,PRISM|9079,PRISM|9126,PRISM|9148
Methanosphaera_stadtmanae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067280000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017702900000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004606399999999999,0.0,0.0,0.0,0.0
Rothia_mucilaginosa,0.0,9.4e-06,0.0,0.0,0.0,0.0,0.000521,5.8399999999999997e-05,0.0001036,0.0,0.0,3.570000000000001e-05,5.6e-06,3.37e-05,4.8200000000000006e-05,0.0,0.0,0.0,2.45e-05,3.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.7399999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043180000000000003,0.0,0.0,0.0,0.0,4.46e-05,0.0028929000000000003,0.0,0.0006654,0.0,0.0,6e-07,0.0002541,0.0,0.0,0.0,2.6600000000000003e-05,0.0002778,0.0,0.0,0.0037121000000000003,0.0,9.77e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020701,0.0,0.0,0.0,0.0010742,0.0,0.0,3.39e-05,0.0,0.0,0.0,0.0,0.0006799,0.0001463,0.0,0.000155,0.0001524,0.0,0.00010270000000000002,2.4e-06,2.95e-05,0.0024910999999999996,0.00014240000000000002,5e-06,0.0,5.42e-05,0.0,2.2e-05,0.00041449999999999994,0.0,1.7899999999999998e-05,0.0,8.1e-05,0.0,0.0,6.11e-05,0.0,0.00010549999999999999,0.0,3.54e-05,0.0,0.0006957,4.98e-05,0.00020269999999999997,0.0,0.0002269,0.0,0.000195,2.3100000000000002e-05,0.0,0.0002005,4.28e-05,3.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022880000000000003,0.0
Propionibacterium_freudenreichii,0.0,0.0,0.0017539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019380000000000002,0.0,0.0,0.0081534,0.0,0.0015925000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005237999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026839999999999996,0.0,0.0,0.0,0.0,0.0,1.36e-05,0.0,0.0,0.0,0.0,1.47e-05,0.0,0.0,0.0,0.0,7.269999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.006481999999999999,6.54e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7899999999999998e-05,0.0,0.0,0.0,0.0002972,0.0,0.0,0.0,0.0001537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028660000000000003,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_adolescentis,9.19e-05,1.47e-05,0.0403279,5.6399999999999995e-05,2.59e-05,6.42e-05,1.2e-05,2.5300000000000002e-05,1.52e-05,0.00010609999999999999,0.0484356,0.45183100000000004,9e-06,1.49e-05,0.0257115,0.0293462,7.87e-05,0.108019,3.6e-05,0.330492,4.970000000000001e-05,0.248453,6.36e-05,0.003931800000000001,6.3e-06,2.33e-05,0.032110200000000005,9.9e-06,1.9600000000000002e-05,0.0396406,0.0389267,0.0032459000000000003,0.0453246,0.24144200000000002,1.28e-05,0.0,4.6e-06,1.04e-05,0.145111,0.07194969999999999,7.269999999999999e-05,0.029168400000000004,6.73e-05,6.82e-05,3.11e-05,0.0491455,0.0666278,2.4100000000000003e-05,3.87e-05,0.327855,9.44e-05,4.11e-05,0.0,1.67e-05,4.74e-05,2.6300000000000002e-05,0.0001597,2.9100000000000003e-05,0.030983499999999997,1.49e-05,2.99e-05,6.77e-05,2.75e-05,6.82e-05,1.4400000000000001e-05,0.0496452,9.6e-06,0.040159600000000004,0.0016355,9.6e-06,2.9600000000000005e-05,1.32e-05,5.93e-05,0.0072943,5.550000000000001e-05,0.0004098,0.0046246,4.0799999999999996e-05,5.720000000000001e-05,0.0004373,0.0,1.3000000000000001e-05,2.7899999999999997e-05,0.139585,0.0004911000000000001,1.91e-05,0.0,4.5799999999999995e-05,8.73e-05,0.0001062,0.0358508,0.0,0.00028569999999999995,4.45e-05,0.17984,0.0496378,5.720000000000001e-05,7.499999999999999e-06,1.06e-05,1.32e-05,0.567643,2.15e-05,0.0,3.8e-05,0.0390422,0.022477900000000002,0.03478080000000001,6.850000000000001e-05,1.06e-05,0.010986200000000002,0.0237242,0.0,3.7e-05,0.0303827,8.3e-06,3.2e-05,1.26e-05,1.36e-05,2.58e-05,1.2e-05,8.2e-06,0.133203,1.91e-05,1.9e-05,0.13156700000000002,0.0,2.1899999999999997e-05,0.00010800000000000001,3.7000000000000006e-06,7.400000000000001e-06,8.400000000000001e-06,7.1e-06,1.29e-05,1.4000000000000001e-05,1.83e-05,1.3699999999999998e-05,1.55e-05,9e-06,5.28e-05,0.0032849000000000003,0.607962,6.29e-05,3.68e-05,0.0822982,3.0299999999999998e-05,3.5000000000000004e-06,0.0,2.23e-05,2.75e-05,1.27e-05,0.565125,7.13e-05,1.36e-05,3.1e-06,8.48e-05
Bifidobacterium_animalis,0.0,1.8000000000000001e-06,1.91e-05,0.0,0.0,0.0,7e-07,7.9e-06,0.0,0.0,0.0,0.0,0.012832299999999998,0.0,0.0061263,0.0,0.0,0.0009477,0.0,0.0,0.0,0.0,0.0231769,0.0,0.0,0.0,0.0,2.26e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0320235,0.00030619999999999996,0.0,0.0001176,0.0,0.0,0.0,0.0,0.0,3.5000000000000004e-06,0.0,3.2e-05,2.6e-06,2.6e-06,0.0,0.0,0.0,0.0,0.013347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007892,0.0012961,0.0,0.0017088000000000001,0.0,0.0,0.0122777,0.0,0.0,0.0015677999999999998,0.0,1.98e-05,0.0,0.0,0.0,0.0003917,9.05e-05,0.0350432,0.0,0.0009632,0.0,0.0,0.0,0.0,0.0,0.0,0.000173,0.0,9e-06,0.0,0.0,3.3e-06,1.6e-06,6.7e-06,4.4e-06,7.1e-06,5.42e-05,3.71e-05,0.0,0.0007484,0.00011,9.000000000000001e-07,0.0013832,2.6e-06,1.0800000000000002e-05,0.0001538,0.016312200000000002,5.2e-06,0.0,0.0024844999999999997,0.0,0.0,0.0,1.3800000000000002e-05,1.98e-05,4.2999999999999995e-06,3.6000000000000003e-06,7.8e-06,2.4e-06,2.7000000000000004e-06,0.0,0.0,0.0,0.0,0.28112600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014172899999999999,0.0,0.0,0.0
Bifidobacterium_bifidum,0.0,8e-06,2.99e-05,0.0,0.0,0.0,0.0,1.1900000000000001e-05,0.0,0.0,0.0,0.0,9.000000000000001e-07,1.01e-05,0.0,0.0103715,0.0,0.0,0.0,0.0,0.0,0.0242806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116219,0.0,0.0,0.0,0.0,0.040344599999999994,0.0,0.0,0.0169075,0.0,0.0,0.0,0.045672199999999996,0.0,0.0,4.2499999999999996e-05,0.0,0.0,0.0,0.0,0.118701,0.0358392,8.400000000000001e-06,3.77e-05,0.0642988,0.027814799999999997,1.11e-05,0.0,0.186299,0.0,0.0,0.017427099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08244589999999999,0.0,7.699999999999999e-06,0.0056597999999999996,0.0,0.0,0.0,0.0,7.74e-05,0.048032,0.021261900000000004,1.1e-05,0.0,0.0,0.0386111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048762,2.5e-06,0.0359805,0.0,0.0,7.2999999999999996e-06,2.8e-06,9.3e-06,0.0,1.77e-05,2.3e-06,0.0238806,6.3e-06,0.025180599999999997,0.0,8.2e-06,0.0,0.0,0.014302200000000003,5.400000000000001e-06,0.0,0.0091078,0.0,0.0,1.52e-05,7.400000000000001e-06,9.3e-06,2.7000000000000004e-06,1.11e-05,3.8e-06,4e-06,0.0,0.08175510000000001,0.0,0.0,0.0,0.0111616,0.0484715,0.0,0.0,0.0771664,0.0,0.0224114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_breve,0.0,0.0,4.2999999999999995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001744,0.0,0.0,0.0122812,0.0,0.0,0.0,0.0001385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3500000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058375,0.0,0.0,0.0,0.0,0.0,0.00022430000000000003,0.0021937,0.131608,0.0,0.0,0.0,0.0103959,1.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010090000000000001,0.0,0.0,0.0,0.0,0.052920600000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032680000000000003,0.0,0.0,9.71e-05,0.0,0.0,0.0,0.0,0.051655200000000005,2.44e-05,0.00022309999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0600000000000004e-05,0.0,0.0,0.0,0.0,3.1e-06,1.62e-05,1.4499999999999998e-05,0.0,6.7e-06,0.0,3.7000000000000006e-06,0.373126,1.1e-05,0.0,0.0,0.0,3.3e-06,0.0,0.0,0.0001517,0.0,0.0,2.25e-05,0.0,0.00023609999999999997,0.0,0.0,0.0,0.0,1.7e-06,0.0,0.0,4.1e-06,0.0,0.0,0.0031041,2.13e-05,0.0006312000000000001,0.0,0.0,0.0041499,0.0,1.7800000000000002e-05,7.2999999999999996e-06,0.0,0.0,0.0033084000000000004,0.0,0.0,7.1e-06,1.9e-05,0.0,0.0,0.0,0.0
Bifidobacterium_catenulatum,0.0,0.0,0.0001758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004961,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5000000000000004e-06,0.0,0.0,0.0035778,0.0,0.00041479999999999995,0.0,0.0,0.0005051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0599999999999996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015178,0.0,0.008281499999999999,0.0,0.0,0.00021790000000000004,0.0004351,0.0,0.0,0.0,0.0,0.0012488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012175999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_dentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015680000000000002,0.0,0.0,6.34e-05,0.0,0.0,0.0,0.0,0.0,0.0015046,0.0,0.0,0.0,0.0015136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1200000000000005e-05,0.0017082999999999998,0.0,0.0,0.0,0.0,0.0,0.0002577,0.0005202000000000001,0.0,0.014282299999999998,0.0,0.014424700000000002,0.0,0.0,0.0,0.0,6.75e-05,0.0,3.6200000000000006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007852,0.0,0.0,0.0,0.0,0.0,0.0,2.54e-05,0.0,0.046183800000000004,9.76e-05,0.0,0.0,0.0,0.0,0.0008230000000000001,0.0,0.0,0.0,0.0,0.0,0.0010743,0.0,0.0,5.9e-06,0.0,0.0,0.0,0.0,0.0001217,0.0,0.0364571,0.0,0.0002656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001436,0.0,0.0,0.0,0.0,0.0,7.23e-05,0.0,0.0,0.0,0.0,0.009150700000000001,0.0,0.0,0.0,0.0,0.0004742,0.0,0.0,0.0,0.030186400000000002,0.0003437,0.0049626,0.0,0.0,0.0056887,0.0,0.101625,0.0,0.0,0.0
Bifidobacterium_longum,4.1899999999999995e-05,7.38e-05,0.10095499999999999,2.8100000000000002e-05,9.77e-05,0.16183,0.00012849999999999998,5.9e-05,3.2200000000000003e-05,0.0016724,0.0396885,6.1e-06,3.01e-05,0.0116194,0.0489832,0.0039671,3.47e-05,0.0599509,0.07214010000000001,0.035493800000000006,0.133082,0.0427815,0.07668480000000001,0.0076281000000000005,0.020313400000000002,0.128296,0.114304,1.53e-05,3.5499999999999996e-05,0.053323199999999994,0.11445699999999999,0.030951599999999996,0.00025069999999999997,0.137793,1.7899999999999998e-05,0.0,0.0322971,1.8000000000000001e-06,0.0467473,0.0792174,4.15e-05,0.018727,0.0051485,5.79e-05,0.000105,8.63e-05,0.0041799,1.26e-05,8.96e-05,5.04e-05,0.0467099,0.029317400000000004,8.3e-05,0.06790039999999999,0.0517994,5.6399999999999995e-05,0.0003887,0.08948510000000001,0.006377399999999999,4.1200000000000005e-05,2.78e-05,4.85e-05,1.3000000000000001e-05,0.048463599999999996,4.52e-05,0.006925100000000001,0.018302900000000004,0.065596,0.0029315,7.68e-05,0.29967,0.0,0.0651322,0.0103515,0.0012403,0.002365,6.45e-05,0.0054905,7.97e-05,0.0,0.039667,0.189915,6.5000000000000004e-06,0.202752,0.016781900000000002,2.15e-05,0.0155192,7.6e-06,0.149577,0.0005917,0.044172199999999995,0.0,0.042198599999999996,5e-05,5.27e-05,0.019303099999999997,0.0001223,0.0001526,0.0029865,0.193977,0.0,0.0015573,0.000182,2.33e-05,0.000919,0.0144792,0.026832400000000003,1.4999999999999999e-05,0.0032338,0.0070688999999999995,0.0085113,4.1e-05,0.09566319999999999,0.0127746,2.7899999999999997e-05,0.0089804,0.0152886,5.7600000000000004e-05,3.9200000000000004e-05,0.009587799999999999,0.00011619999999999999,0.028501299999999997,0.011551299999999999,2.8000000000000003e-05,0.0350535,0.0001035,4.11e-05,0.0012154000000000002,3.3299999999999996e-05,0.037588300000000005,6.790000000000001e-05,2.55e-05,0.047807300000000004,0.0038905999999999997,1.31e-05,0.161178,0.0041738999999999995,2.2e-05,0.0073542,0.026981,0.181846,0.0453594,0.018487200000000002,0.023444200000000002,0.0404205,0.0003956,0.0002512,0.024457200000000002,0.08655499999999999,0.155832,0.018659099999999998,0.0,9e-06,0.0072809,1.34e-05
Bifidobacterium_pseudocatenulatum,0.0,0.0,0.0058155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009898700000000002,0.0,0.0,0.0,0.054494299999999996,0.0,0.0,0.0,0.09096989999999999,0.0,0.0,0.0,0.0,0.0019222999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007651000000000001,0.0,0.0472562,0.0,0.0,0.0041246,0.0,0.0176446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022565099999999998,0.00048180000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315534,0.0,0.0,0.0,0.009233499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053788,0.022018799999999998,0.0,0.0,0.0,0.0065429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001693,0.0,0.0021521,0.0,0.0,0.015246000000000001,0.0,0.0,0.0,0.0,0.0,0.0135839,0.0,0.0,0.0,0.0,0.0,0.0017902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009416299999999999,0.0,0.0,0.029050700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059849
Adlercreutzia_equolifaciens,0.0099457,0.0126869,0.0130885,0.0,0.0019697,0.0,0.0,0.0,0.0,0.0,0.0012163,0.0018625999999999998,0.0027256999999999997,0.0206406,0.0010595000000000001,0.009896799999999999,0.0,0.0,0.0071009,0.0009314999999999999,0.006983400000000001,0.0,0.00041230000000000005,0.0027957,0.0001335,0.0116951,0.0019109,0.0099175,0.005603,0.0027557,0.004715100000000001,0.0,0.0012862,0.0014116,0.005078,0.0063506,0.012216,0.0,0.0056102,0.0009484,0.0013563,0.004413899999999999,0.0,0.0,0.0,0.0,0.0024492,0.0,0.0,0.0,0.00013969999999999998,0.0066783,0.0,0.0,0.0,0.0021086,0.0,0.0009136000000000001,0.004958,0.002436,0.0,0.0,0.0,0.0009189000000000001,0.0,0.0039105,0.0016331,0.007497199999999999,0.0,0.0311985,0.025391,0.0,0.0008321,0.0045902,0.0,0.0,0.0006683,0.0,0.0,0.0,0.0035315,0.0,0.0,0.0074325,0.0,0.0,0.0,0.0,0.0,0.0,8.6e-05,0.0033242,0.0017469999999999999,0.0,0.0037256999999999998,0.0010489000000000002,0.0,0.002532,0.0,0.0006296,0.0,0.00011559999999999999,0.0021952,0.0008632,0.0010057,0.0027286,0.00018790000000000001,0.0,0.0,0.0,0.0022935,0.0,0.0007312999999999999,0.00038339999999999994,0.0046833,0.0017515,0.0020410999999999997,0.005111,0.0038621000000000003,0.0022436,0.0004369,0.0021929000000000002,0.0027243000000000002,0.0,0.0004559,0.0008914,0.0052089,4.2999999999999995e-06,0.0,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0,0.0,0.0001982,0.0,0.0018355000000000001,0.0,0.0,0.0011697,0.0002043,0.0010550999999999998,0.0,0.0005222,0.0,0.0052141,0.0,0.0,0.0002089,0.0,0.0071992,0.0024804000000000002,0.0029844000000000003
Collinsella_aerofaciens,0.0,9.1e-06,3.16e-05,0.0,0.0243928,0.0,2.61e-05,0.0489601,0.0,0.0,0.0281677,0.11857100000000001,0.014337299999999999,0.0,0.0045815,0.026364099999999998,0.0259785,0.0,0.0571884,0.107642,0.0455346,0.0092293,0.014306399999999999,0.0091429,0.0,0.0,0.0593577,0.0942578,0.0,0.0,0.043149599999999996,0.0,0.0555175,0.036430699999999996,0.0,0.015277200000000001,0.0,0.009409899999999999,0.029741700000000003,0.0247354,0.0119764,0.0142136,0.0,0.0,1.83e-05,0.0,0.0210963,0.0,0.0029756,0.0521297,0.0,0.015278299999999998,0.0,0.0,0.0,0.0173682,0.0,0.132664,0.0263099,0.0178535,0.0,0.0,0.039798,0.0,0.0777548,0.0127197,0.022456,0.106447,0.0004736000000000001,0.0,2.2e-05,0.0,0.0395669,0.0,0.001971,0.0,0.035645300000000005,0.0072998,0.0720354,0.0,0.0280751,0.0,0.0,0.302578,0.0,0.0,0.0,0.0,0.0,0.00014330000000000001,0.03748630000000001,0.033414099999999995,0.0188813,0.0,0.0,0.0596346,0.0,0.030296499999999997,0.0,0.0,0.0,0.0,0.0088042,0.0,0.0192277,1.4999999999999999e-05,2.71e-05,4.98e-05,0.0015890999999999998,0.025957,0.022894099999999997,1.7e-06,0.022089599999999997,0.0088399,0.0051455,0.0126946,0.008763600000000002,1.83e-05,2.4e-06,0.0105428,1.17e-05,0.0179225,1.92e-05,0.0,0.0232995,0.0038943000000000003,0.0,2.05e-05,1.1e-06,6.1e-06,4.8e-06,1.2e-05,1.4800000000000002e-05,3.5000000000000004e-06,0.00047489999999999994,0.0,0.0029882,1.67e-05,0.0,0.0,0.0,0.0551253,0.04374840000000001,0.0152303,0.0,0.0307967,0.0,0.0,0.0087612,0.0451764,0.0360316,0.0,0.0,0.036334500000000006,0.025895400000000002
Collinsella_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049039099999999995,0.0,0.0,0.0,0.0,0.0,0.0006813,0.0,0.0,0.0414203,0.0,0.0,0.0,0.0,0.0,0.0,0.006825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57e-05,0.0,0.0,0.0,0.046156199999999994,0.0,0.0,0.013757299999999998,0.0,0.0038420999999999998,0.0,0.0,8e-07,0.00613,9.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008081,0.029788799999999997,0.0,0.0,0.0001001,0.0,0.018087,0.0,0.0,0.0,0.0005436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collinsella_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017480000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001542,0.0,0.0,0.0026246999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7e-06,0.0006362999999999999,0.0,0.0014903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
